Código comuna,Comuna,promedio_pacientes,mediana_pacientes,promedio_migrantes,mediana_migrantes,porcentaje_migrantes_promedio
7403,Longaví,2462.0833333333335,2434.5,15.25,14.5,0.62
7404,Parral,4336.416666666667,4291.0,27.5,26.5,0.63
7405,Retiro,2032.3333333333333,2007.0,7.833333333333333,8.0,0.39
7406,San Javier,5199.75,4981.0,38.166666666666664,38.5,0.73
7407,Villa Alegre,1894.6666666666667,1954.0,7.416666666666667,6.5,0.39
7408,Yerbas Buenas,2180.25,2317.5,6.333333333333333,5.5,0.29
8101,Concepción,22271.833333333332,23227.0,913.5833333333334,886.0,4.1
8102,Coronel,8793.166666666666,8920.0,126.75,129.0,1.44
8103,Chiguayante,8105.0,8270.0,119.0,117.5,1.47
8104,Florida,1522.3333333333333,1543.5,8.166666666666666,7.0,0.54
8105,Hualqui,2258.6666666666665,2157.0,14.666666666666666,17.0,0.65
8106,Lota,6561.416666666667,6696.5,39.166666666666664,36.5,0.6
8107,Penco,4763.083333333333,4856.5,44.083333333333336,46.5,0.93
8108,San Pedro de La paz,9613.833333333334,9696.0,218.33333333333334,221.0,2.27
8109,Santa Juana,1536.3333333333333,1534.0,0.08333333333333333,0.0,0.01
8110,Talcahuano,9407.416666666666,9254.5,147.41666666666666,142.0,1.57
8111,Tomé,5853.333333333333,5937.5,24.0,23.0,0.41
8112,Hualpén,5198.0,5220.5,73.25,77.5,1.41
8201,Lebu,3095.25,2949.5,18.416666666666668,17.5,0.59
8202,Arauco,4847.583333333333,4827.0,0.8333333333333334,1.0,0.02
8203,Cañete,3029.5,3072.0,0.5833333333333334,0.5,0.02
8204,Contulmo,1323.75,1338.0,4.416666666666667,4.0,0.33
8205,Curanilahue,3945.1666666666665,3985.5,5.25,5.0,0.13
8206,Los Álamos,2450.0,2526.5,1.5,1.0,0.06
8207,Tirúa,1394.5,1393.5,1.3333333333333333,1.5,0.1
8301,Los Ángeles,18660.833333333332,18764.0,299.75,313.0,1.61
8302,Antuco,602.9166666666666,608.5,0.4166666666666667,0.0,0.07
8303,Cabrero,3952.5833333333335,3781.0,35.583333333333336,36.0,0.9
8304,Laja,3211.0,3241.5,1.9166666666666667,1.0,0.06
8305,Mulchén,3571.75,3568.5,3.6666666666666665,3.0,0.1
8306,Nacimiento,2382.0,2406.5,0.75,0.0,0.03
8307,Negrete,1019.3333333333334,1009.5,3.25,3.0,0.32
8308,Quilaco,638.75,591.0,0.6666666666666666,0.5,0.1
8309,Quilleco,1374.0,1297.0,0.3333333333333333,0.0,0.02
8310,San Rosendo,715.4166666666666,711.0,0.08333333333333333,0.0,0.01
8311,Santa Bárbara,2249.5,2209.0,1.5,1.0,0.07
8312,Tucapel,2585.75,2532.5,0.25,0.0,0.01
8313,Yumbel,3683.5833333333335,3699.0,4.083333333333333,4.0,0.11
8314,Alto Biobío,601.4166666666666,592.5,0.8333333333333334,0.0,0.14
9101,Temuco,30823.0,31238.0,437.4166666666667,444.5,1.42
9102,Carahue,2817.0833333333335,2910.0,4.5,4.0,0.16
9103,Cunco,2532.0833333333335,2543.0,10.5,10.5,0.41
9104,Curarrehue,746.4166666666666,772.5,0.75,0.0,0.1
9105,Freire,2060.75,2044.5,4.75,4.5,0.23
9106,Galvarino,1611.0833333333333,1596.5,1.6666666666666667,1.0,0.1
9107,Gorbea,2010.9166666666667,2009.5,12.0,12.0,0.6
9108,Lautaro,6076.083333333333,6351.5,51.75,53.0,0.85
9109,Loncoche,2684.3333333333335,2718.5,11.0,12.5,0.41
9110,Melipeuco,886.1666666666666,917.0,5.416666666666667,5.0,0.61
9111,Nueva Imperial,5119.0,5105.5,31.666666666666668,29.0,0.62
9112,Padre Las Casas,10554.0,10641.0,82.25,70.0,0.78
9113,Perquenco,1080.5,1054.5,0.16666666666666666,0.0,0.02
9114,Pitrufquén,2988.25,3074.5,30.083333333333332,29.0,1.01
9115,Pucón,4108.75,4258.5,45.0,41.0,1.1
9116,Saavedra,2011.1666666666667,2070.0,4.25,4.0,0.21
9117,Teodoro Schmidt,1849.4166666666667,1923.0,9.25,7.5,0.5
9118,Toltén,1464.5,1412.5,4.583333333333333,4.5,0.31
9119,Vilcún,2872.75,2975.0,24.0,23.0,0.84
9120,Villarrica,7850.583333333333,7733.5,109.0,111.0,1.39
9121,Cholchol,1052.25,1009.0,12.75,6.0,1.21
9201,Angol,5654.083333333333,5716.5,35.75,36.0,0.63
9202,Collipulli,4523.833333333333,4654.0,6.666666666666667,6.0,0.15
9203,Curacautín,2197.4166666666665,2212.5,7.083333333333333,5.0,0.32
9204,Ercilla,1787.4166666666667,1840.0,3.5,3.5,0.2
9205,Lonquimay,2339.4166666666665,2268.5,1.5,1.5,0.06
9206,Los Sauces,1536.25,1567.5,1.25,1.0,0.08
9207,Lumaco,2176.4166666666665,2103.5,1.25,0.5,0.06
9208,Purén,2263.4166666666665,2305.0,2.3333333333333335,2.0,0.1
9209,Renaico,1863.4166666666667,1739.5,8.333333333333334,9.0,0.45
9210,Traiguén,2974.5833333333335,2951.5,9.916666666666666,8.0,0.33
9211,Victoria,5183.75,5085.5,27.0,31.0,0.52
