Código comuna,Comuna,Area
5802,limache,294.0
5803,olmué,232.0
5804,villa alemana,97.0
13101,santiago,22.0
13102,cerrillos,21.0
13103,cerro navia,11.0
13104,conchalí,11.0
13105,el bosque,14.0
13106,estación central,14.0
13107,huechuraba,45.0
13108,independencia,7.0
13109,la cisterna,10.0
13110,la florida,71.0
13111,la granja,10.0
13112,la pintana,31.0
13113,la reina,23.0
13114,las condes,99.0
13115,lo barnechea,1024.0
13116,lo espejo,7.0
13117,lo prado,7.0
13118,macul,13.0
13119,maipú,133.0
13120,ñuñoa,17.0
13121,pedro aguirre cerda,10.0
13122,peñalolén,54.0
13123,providencia,14.0
13124,pudahuel,197.0
13125,quilicura,58.0
13126,quinta normal,12.0
13127,recoleta,16.0
13128,renca,24.0
13129,san joaquín,10.0
13130,san miguel,10.0
13131,san ramón,7.0
13132,vitacura,28.0
13201,puente alto,88.0
13202,pirque,445.0
13203,san josé de maipo,4995.0
13301,colina,971.0
13302,lampa,452.0
13303,tiltil,653.0
13401,san bernardo,155.0
13402,buin,214.0
13403,calera de tango,73.0
13404,paine,678.0
13501,melipilla,1345.0
13502,alhué,845.0
13503,curacaví,693.0
13504,maría pinto,395.0
13505,san pedro,788.0
13601,talagante,126.0
13602,el monte,118.0
13603,isla de maipo,189.0
13604,padre hurtado,81.0
13605,peñaflor,69.0
6101,rancagua,260.0
6102,codegua,287.0
6103,coinco,98.0
6104,coltauco,225.0
6105,doñihue,78.0
6106,graneros,113.0
6107,las cabras,749.0
6108,machalí,2586.0
6109,malloa,113.0
6110,mostazal,524.0
6111,olivar,45.0
6112,peumo,153.0
6113,pichidegua,320.0
6114,quinta de tilcoco,93.0
6115,rengo,592.0
6116,requínoa,673.0
6117,san vicente,476.0
6201,pichilemu,749.0
6202,la estrella,435.0
6203,litueche,619.0
6204,marchihue,660.0
6205,navidad,300.0
6206,paredones,562.0
6301,san fernando,2441.0
6302,chépica,503.0
6303,chimbarongo,498.0
6304,lolol,597.0
6305,nancagua,111.0
6306,palmilla,237.0
6307,peralillo,283.0
6308,placilla,147.0
6309,pumanque,441.0
6310,santa cruz,420.0
7101,talca,232.0
7102,constitución,1344.0
7103,curepto,1074.0
7104,empedrado,565.0
7105,maule,238.0
7106,pelarco,332.0
7107,pencahue,957.0
7108,río claro,431.0
7109,san clemente,4504.0
7110,san rafael,264.0
7201,cauquenes,2126.0
7202,chanco,530.0
7203,pelluhue,371.0
7301,curicó,1328.0
7302,hualañé,629.0
7303,licantén,273.0
7304,molina,1552.0
7305,rauco,309.0
7306,romeral,1597.0
7307,sagrada familia,549.0
7308,teno,618.0
7309,vichuquén,426.0
7401,linares,1466.0
7402,colbún,2900.0
7403,longaví,1454.0
7404,parral,1638.0
7405,retiro,827.0
7406,san javier,1313.0
7407,villa alegre,190.0
7408,yerbas buenas,262.0
16101,chillán,511.0
16102,bulnes,425.0
16103,chillán viejo,292.0
16104,el carmen,664.0
16105,pemuco,563.0
16106,pinto,1164.0
16107,quillón,423.0
16108,san ignacio,364.0
16109,yungay,824.0
16201,quirihue,589.0
16202,cobquecura,570.0
16203,coelemu,342.0
16204,ninhue,401.0
16205,portezuelo,282.0
16206,ránquil,248.0
16207,trehuaco,313.0
16301,san carlos,874.0
16302,coihueco,1777.0
16303,ñiquén,493.0
16304,san fabián,1568.0
16305,san nicolás,491.0
8101,concepción,222.0
8102,coronel,279.0
8103,chiguayante,72.0
8104,florida,609.0
8105,hualqui,531.0
8106,lota,136.0
8107,penco,108.0
8108,san pedro de la paz,113.0
8109,santa juana,731.0
8110,talcahuano,92.0
8111,tomé,495.0
8112,hualpén,54.0
8201,lebu,561.0
8202,arauco,956.0
8203,cañete,760.0
8204,contulmo,962.0
8205,curanilahue,994.0
8206,los álamos,599.0
8207,tirúa,624.0
8301,los ángeles,1748.0
8302,antuco,1884.0
8303,cabrero,640.0
8304,laja,340.0
8305,mulchén,1925.0
8306,nacimiento,935.0
8307,negrete,157.0
8308,quilaco,1124.0
8309,quilleco,1122.0
8310,san rosendo,92.0
8311,santa bárbara,1255.0
8312,tucapel,915.0
8313,yumbel,727.0
8314,alto biobío,2125.0
9101,temuco,464.0
9102,carahue,1341.0
9103,cunco,1907.0
9104,curarrehue,1171.0
9105,freire,935.0
9106,galvarino,568.0
9107,gorbea,695.0
9108,lautaro,901.0
9109,loncoche,977.0
9110,melipeuco,1107.0
9111,nueva imperial,733.0
9112,padre las casas,401.0
9113,perquenco,331.0
9114,pitrufquén,581.0
9115,pucón,1249.0
9116,saavedra,401.0
9117,teodoro schmidt,650.0
9118,toltén,860.0
9119,vilcún,1421.0
9120,villarrica,1291.0
9121,cholchol,428.0
9201,angol,1194.0
9202,collipulli,1296.0
9203,curacautín,1664.0
9204,ercilla,500.0
9205,lonquimay,3914.0
9206,los sauces,850.0
9207,lumaco,1119.0
9208,purén,465.0
9209,renaico,267.0
9210,traiguén,908.0
9211,victoria,1256.0
14101,valdivia,1016.0
14102,corral,767.0
14103,lanco,532.0
14104,los lagos,1791.0
14105,máfil,583.0
14106,mariquina,1321.0
14107,paillaco,896.0
14108,panguipulli,3292.0
14201,la unión,2137.0
14202,futrono,2121.0
14203,lago ranco,1763.0
14204,río bueno,2212.0
10101,puerto montt,1673.0
10102,calbuco,591.0
10103,cochamó,3911.0
10104,fresia,1278.0
10105,frutillar,831.0
10106,los muermos,1246.0
10107,llanquihue,421.0
10108,maullín,861.0
10109,puerto varas,4065.0
10201,castro,473.0
10202,ancud,1752.0
10203,chonchi,1362.0
10204,curaco de vélez,80.0
10205,dalcahue,1239.0
10206,puqueldón,97.0
10207,queilén,333.0
10208,quellón,3244.0
10209,quemchi,440.0
10210,quinchao,161.0
10301,osorno,951.0
10302,puerto octay,1796.0
10303,purranque,1459.0
10304,puyehue,1598.0
10305,río negro,1266.0
10306,san juan de la costa,1517.0
10307,san pablo,637.0
10401,chaitén,8471.0
10402,futaleufú,1280.0
10403,hualaihué,2788.0
10404,palena,2764.0
11101,coyhaique,7290.2
11102,lago verde,5422.3
11201,aysén,29796.4
11202,cisnes,16093.0
11203,guaitecas,620.6
11301,cochrane,8599.5
11302,o'higgins,8182.5
11303,tortel,19710.6
11401,chile chico,5737.1
11402,río ibáñez,5997.2
12101,punta arenas,17846.0
12102,laguna blanca,3696.0
12103,río verde,17248.0
12104,san gregorio,6884.0
12201,cabo de hornos,21551.0
12301,porvenir,9707.0
12302,primavera,6530.0
12303,timaukel,10759.0
12401,natales,49924.0
12402,torres del paine,6630.0
