Código comuna,Comuna,ruralidad,nivel_promedio,desviacion_estandar
6102,Codegua,0.5,4.0,0.0
6103,Coinco,0.6534090909090908,2.960227272727273,1.4276522186576173
6104,Coltauco,0.4395973154362416,4.0,0.0
6105,Doñihue,0.3999999999999999,4.0,0.0
6106,Graneros,0.1991434689507494,6.0,0.0
6107,Las Cabras,0.5806451612903225,4.0,0.0
6108,Machalí,0.07827102803738328,3.7009345794392523,0.45784855005293046
6109,Malloa,0.5846153846153845,4.0,0.0
6110,Mostazal,0.3277777777777777,4.0,0.0
6111,Olivar,0.45175438596491224,4.0,0.0
6112,Peumo,0.4086378737541527,2.7740863787375414,1.4747463025858178
6113,Pichidegua,0.5294117647058822,4.0,0.0
6114,Quinta de Tilcoco,0.608910891089109,4.0,0.0
6115,Rengo,0.21162790697674416,4.467441860465116,2.6223742952321305
6116,Requínoa,0.4759493670886077,4.0,0.0
6117,San Vicente,0.5227686703096539,6.0,0.0
6201,Pichilemu,0.2624434389140271,4.524886877828054,0.8799247247009404
6202,La Estrella,0.681159420289855,4.0,0.0
6203,Litueche,0.7414965986394557,1.7755102040816326,1.3134361558942111
6204,Marchihue,0.7305389221556886,4.0,0.0
6205,Navidad,1.0,4.0,0.0
6206,Paredones,0.6601941747572815,4.0,0.0
6301,San Fernando,0.10627530364372473,5.5394736842105265,2.3819200328369017
6302,Chépica,0.5533980582524272,4.0,0.0
6303,Chimbarongo,0.4592901878914406,4.0,0.0
6304,Lolol,0.6701030927835052,1.9896907216494846,1.4105262990917171
6305,Nancagua,0.5168195718654434,4.0,0.0
6306,Palmilla,0.7531645569620253,4.0,0.0
6307,Peralillo,0.5604395604395604,4.0,0.0
6308,Placilla,0.730263157894737,3.460526315789474,0.8876460513433122
6309,Pumanque,1.0,4.0,0.0
6310,Santa Cruz,0.3776371308016877,4.236286919831223,2.2825405311465556
7101,Talca,0.05291540276373441,1.9888776541961577,0.7668197036459883
7102,Constitución,0.20582877959927148,4.699453551912568,2.580369297663311
7103,Curepto,0.6267605633802817,2.119718309859155,1.4509947746782628
7104,Empedrado,0.5528455284552845,2.341463414634146,1.4915985220898202
7105,Maule,0.2191780821917808,2.4863013698630136,1.0837296165460024
7106,Pelarco,0.7440476190476191,3.232142857142857,1.3091855623763553
7107,Pencahue,0.588235294117647,5.176470588235294,0.9843059135695006
7108,Río Claro,0.6059113300492611,4.0,0.0
7109,San Clemente,0.5176252319109462,4.0,0.0
7110,San Rafael,0.5941176470588236,4.0,0.0
7201,Cauquenes,0.18903591682419663,3.9262759924385633,2.700600214635871
7202,Chanco,0.5684210526315789,2.294736842105263,1.4858893081286642
7203,Pelluhue,0.5616438356164384,4.0,0.0
