Código región,Región,Provincia,Código comuna,Comuna,total_poblacion,total_poblacion_migrante,porcentaje_migrante_total,porcentaje_migrante_fonasa,ruralidad,nivel_promedio,desviacion_estandar,Total_centros,promedio_pacientes,porcentaje_migrantes_promedio,Area,tasa_centros_10k,tasa_atenciones_10k,densidad_poblacional
3,Atacama,Huasco,3302,Alto del Carmen,4788.0,86,1.8,2.68,1.0,4.0,0.0,6.0,325.3333333333333,0.03,5939.0,12.53,679.48,0.81
3,Atacama,Huasco,3303,Freirina,7577.0,92,1.21,1.79,0.551219512195122,4.0,0.0,3.0,847.8333333333334,0.03,3578.0,3.96,1118.96,2.12
3,Atacama,Huasco,3304,Huasco,9369.0,452,4.82,7.88,0.3398876404494382,5.320224719101123,0.9473416117096336,5.0,1669.0,0.3,1601.0,5.34,1781.41,5.85
4,Coquimbo,Elqui,4101,La Serena,250141.0,15544,6.21,7.03,0.1117693522906793,1.9348341232227488,1.094335485196135,19.0,8997.333333333334,1.99,1893.0,0.76,359.69,132.14
4,Coquimbo,Elqui,4102,Coquimbo,263719.0,16971,6.44,6.79,0.070167286245353,1.891728624535316,0.8497136980975059,19.0,18528.58333333333,5.39,1429.0,0.72,702.59,184.55
4,Coquimbo,Elqui,4103,Andacollo,11566.0,135,1.17,1.3,0.3675675675675676,2.897297297297297,1.4464283105499087,1.0,1315.4166666666667,0.1,310.0,0.86,1137.31,37.31
4,Coquimbo,Elqui,4104,La Higuera,4335.0,110,2.54,6.36,0.7467532467532467,3.24025974025974,1.3046131675521988,5.0,504.4166666666667,0.08,4158.0,11.53,1163.59,1.04
4,Coquimbo,Elqui,4105,Paiguano,4649.0,122,2.62,3.81,1.0,4.0,0.0,5.0,400.4166666666667,0.67,1495.0,10.76,861.3,3.11
4,Coquimbo,Elqui,4106,Vicuña,28047.0,1239,4.42,6.32,0.3348837209302326,4.0,0.0,11.0,2806.25,2.08,7610.0,3.92,1000.55,3.69
4,Coquimbo,Choapa,4201,Illapel,32009.0,988,3.09,3.13,0.358974358974359,5.282051282051282,0.9593993299420362,16.0,3844.4166666666665,1.13,2629.0,5.0,1201.04,12.18
4,Coquimbo,Choapa,4202,Canela,9639.0,88,0.91,1.38,0.691860465116279,3.0755813953488373,1.3851736560187269,11.0,893.9166666666666,0.09,2197.0,11.41,927.4,4.39
4,Coquimbo,Choapa,4203,Los Vilos,22879.0,1382,6.04,11.77,0.3758389261744965,5.248322147651007,0.9686775061835552,6.0,3200.4166666666665,1.7,1861.0,2.62,1398.84,12.29
4,Coquimbo,Choapa,4204,Salamanca,27823.0,1271,4.57,5.91,0.4182509505703422,4.0,0.0,11.0,3253.0,2.15,3445.0,3.95,1169.18,8.08
4,Coquimbo,Limarí,4301,Ovalle,118696.0,5834,4.92,4.56,0.2491228070175439,4.910526315789474,2.434920237933258,23.0,9598.0,0.8,3835.0,1.94,808.62,30.95
4,Coquimbo,Limarí,4302,Combarbalá,12954.0,168,1.3,2.05,0.5248226950354611,2.425531914893617,1.498150361045442,13.0,1965.5833333333333,0.15,1896.0,10.04,1517.36,6.83
4,Coquimbo,Limarí,4303,Monte Patria,29997.0,452,1.51,2.0,0.5403508771929824,4.0,0.0,14.0,2823.333333333333,0.2,4366.0,4.67,941.21,6.87
4,Coquimbo,Limarí,4304,Punitaqui,12076.0,236,1.95,2.29,0.5846153846153845,2.246153846153846,1.4783646810504891,5.0,1267.1666666666667,0.63,1339.0,4.14,1049.33,9.02
4,Coquimbo,Limarí,4305,Río Hurtado,4334.0,0,0.0,1.21,1.0,1.0,0.0,8.0,533.25,0.0,2117.0,18.46,1230.39,2.05
5,Valparaíso,Valparaíso,5101,Valparaíso,284938.0,13223,4.64,5.11,0.0249410178631614,1.911695315133131,0.745927980162366,27.0,16580.166666666668,3.85,402.0,0.95,581.89,708.8
5,Valparaíso,Valparaíso,5102,Casablanca,29876.0,2250,7.53,8.2,0.407942238267148,5.184115523465704,0.9829046108442822,5.0,2150.9166666666665,3.22,953.0,1.67,719.95,31.35
5,Valparaíso,Valparaíso,5103,Concón,48294.0,4065,8.42,11.36,0.2142857142857142,3.75974025974026,0.4272411467427527,1.0,3830.0833333333335,4.31,76.0,0.21,793.08,635.45
5,Valparaíso,Valparaíso,5104,Juan Fernández,904.0,0,0.0,2.62,,,,2.0,154.08333333333334,0.76,148.0,22.12,1704.46,6.11
5,Valparaíso,Valparaíso,5105,Puchuncaví,22539.0,949,4.21,5.0,0.2912280701754386,4.0,0.0,9.0,2428.333333333333,1.4,300.0,3.99,1077.39,75.13
5,Valparaíso,Valparaíso,5107,Quintero,35754.0,1833,5.13,5.67,0.3629032258064515,6.0,0.0,4.0,3165.833333333333,1.0,148.0,1.12,885.45,241.58
5,Valparaíso,Valparaíso,5109,Viña del Mar,334871.0,21597,6.45,7.49,0.0,2.019241192411924,0.6488751733628805,20.0,16700.0,1.91,122.0,0.6,498.7,2744.84
5,Valparaíso,Isla de Pascua,5201,Isla de Pascua,4800.0,182,3.79,8.59,,,,1.0,453.4166666666667,4.12,164.0,2.08,944.62,29.27
5,Valparaíso,Los Andes,5301,Los Andes,63440.0,4086,6.44,8.71,0.2038123167155425,5.592375366568915,0.8056621035411455,5.0,5144.25,0.2,1248.0,0.79,810.88,50.83
5,Valparaíso,Los Andes,5302,Calle Larga,16597.0,528,3.18,4.09,0.540983606557377,4.918032786885246,0.99663502646365,3.0,1883.25,1.38,322.0,1.81,1134.69,51.54
5,Valparaíso,Los Andes,5303,Rinconada,11855.0,379,3.2,3.21,0.6989966555183946,4.0,0.0,2.0,2040.0833333333333,0.26,123.0,1.69,1720.86,96.38
5,Valparaíso,Los Andes,5304,San Esteban,20112.0,593,2.95,3.54,0.5049999999999999,4.99,0.9999499987499376,6.0,2418.5,0.07,1362.0,2.98,1202.52,14.77
5,Valparaíso,Petorca,5401,La Ligua,39270.0,1651,4.2,6.07,0.2886904761904763,5.422619047619048,0.906307420575143,13.0,3769.8333333333335,1.74,1163.0,3.31,959.98,33.77
5,Valparaíso,Petorca,5402,Cabildo,20015.0,461,2.3,3.71,0.5123152709359606,4.0,0.0,6.0,1730.25,0.41,1455.0,3.0,864.48,13.76
5,Valparaíso,Petorca,5403,Papudo,7561.0,377,4.99,6.28,0.2615384615384615,3.2153846153846155,1.31841755603868,4.0,1136.9166666666667,2.73,166.0,5.29,1503.66,45.55
5,Valparaíso,Petorca,5404,Petorca,10206.0,199,1.95,3.7,0.5284090909090908,4.0,0.0,5.0,1858.0833333333333,0.6,1517.0,4.9,1820.58,6.73
5,Valparaíso,Petorca,5405,Zapallar,7980.0,228,2.86,4.84,0.6089552238805971,3.217910447761194,0.975968768330481,5.0,1041.8333333333333,1.67,288.0,6.27,1305.56,27.71
5,Valparaíso,Quillota,5501,Quillota,96753.0,7951,8.22,9.38,0.1511216056670601,4.148760330578512,0.8578109742070339,11.0,11159.083333333334,2.55,302.0,1.14,1153.36,320.37
5,Valparaíso,Quillota,5502,Calera,50631.0,2991,5.91,7.0,0.1701754385964913,4.436842105263158,2.697700878099874,9.0,7687.416666666667,1.51,61.0,1.78,1518.32,830.02
5,Valparaíso,Quillota,5503,Hijuelas,19286.0,832,4.31,5.31,0.4184100418410041,4.0,0.0,4.0,3087.9166666666665,2.04,267.0,2.07,1601.12,72.23
5,Valparaíso,Quillota,5504,La Cruz,24939.0,1454,5.83,6.91,0.46875,5.0625,0.998044963916957,2.0,2269.583333333333,1.36,78.0,0.8,910.05,319.73
5,Valparaíso,Quillota,5506,Nogales,22136.0,528,2.39,2.72,0.3665480427046264,4.0,0.0,5.0,2704.75,0.63,405.0,2.26,1221.88,54.66
5,Valparaíso,San Antonio,5601,San Antonio,96770.0,5216,5.39,6.6,0.1253229974160206,5.213178294573644,2.529879730111928,15.0,6523.25,1.51,405.0,1.55,674.1,238.94
5,Valparaíso,San Antonio,5602,Algarrobo,16076.0,701,4.36,6.13,0.3690036900369005,5.2619926199262,0.9650698767986732,4.0,1153.0833333333333,0.51,176.0,2.49,717.27,91.34
5,Valparaíso,San Antonio,5603,Cartagena,24599.0,900,3.66,5.97,0.3413333333333332,4.0,0.0,6.0,1523.8333333333333,1.99,246.0,2.44,619.47,100.0
5,Valparaíso,San Antonio,5604,El Quisco,18971.0,1263,6.66,10.87,0.125,3.75,0.6614378277661477,4.0,1092.5,1.83,51.0,2.11,575.88,371.98
5,Valparaíso,San Antonio,5605,El Tabo,16260.0,472,2.9,4.54,0.1369294605809128,3.589211618257261,1.0313185980352522,4.0,1021.25,0.2,99.0,2.46,628.08,164.24
5,Valparaíso,San Antonio,5606,Santo Domingo,13171.0,407,3.09,4.78,0.4756756756756757,6.524324324324325,0.499407976754642,5.0,844.4166666666666,0.49,536.0,3.8,641.12,24.57
5,Valparaíso,San Felipe de Aconcagua,5701,San Felipe,80413.0,8232,10.24,9.89,0.1697892271662764,2.2540983606557377,0.9916871436060696,6.0,7322.833333333333,0.16,186.0,0.75,910.65,432.33
5,Valparaíso,San Felipe de Aconcagua,5702,Catemu,13760.0,284,2.06,4.23,0.5414634146341464,4.0,0.0,3.0,2241.9166666666665,0.06,362.0,2.18,1629.3,38.01
5,Valparaíso,San Felipe de Aconcagua,5703,Llaillay,25484.0,1015,3.98,5.37,0.4043478260869566,5.191304347826087,0.9815307669670044,2.0,1555.8333333333333,0.33,349.0,0.78,610.51,73.02
5,Valparaíso,San Felipe de Aconcagua,5704,Panquehue,7269.0,91,1.25,1.98,0.6833333333333333,4.0,0.0,1.0,1889.0833333333333,0.08,122.0,1.38,2598.82,59.58
5,Valparaíso,San Felipe de Aconcagua,5705,Putaendo,17336.0,349,2.01,2.58,0.4588744588744589,4.0,0.0,8.0,2998.75,0.07,1474.0,4.61,1729.78,11.76
5,Valparaíso,San Felipe de Aconcagua,5706,Santa María,15134.0,392,2.59,2.86,0.4952830188679245,4.0,0.0,4.0,1722.8333333333333,0.32,166.0,2.64,1138.39,91.17
5,Valparaíso,Marga Marga,5801,Quilpué,162559.0,7623,4.69,5.34,0.139275766016713,2.3125348189415043,0.8443381699097059,10.0,10546.916666666666,1.47,537.0,0.62,648.81,302.72
5,Valparaíso,Marga Marga,5802,Limache,56145.0,1978,3.52,5.56,0.2300683371298406,5.539863325740319,0.8417526890486318,3.0,6004.5,0.76,294.0,0.53,1069.46,190.97
5,Valparaíso,Marga Marga,5803,Olmué,19778.0,636,3.22,3.44,0.4128113879003559,4.0,0.0,6.0,923.5833333333334,1.25,232.0,3.03,466.98,85.25
5,Valparaíso,Marga Marga,5804,Villa Alemana,139571.0,4719,3.38,3.47,0.0446127946127945,2.1321548821548824,0.6197178701939946,7.0,10945.833333333334,1.0,97.0,0.5,784.25,1438.88
6,Libertador General Bernardo O'Higgins,Cachapoal,6101,Rancagua,257744.0,20640,8.01,10.07,0.0356075020385975,2.01821147050829,0.693968859769634,14.0,19805.666666666668,3.35,260.0,0.54,768.42,991.32
6,Libertador General Bernardo O'Higgins,Cachapoal,6102,Codegua,13955.0,371,2.66,3.52,0.5,4.0,0.0,3.0,1788.5833333333333,2.29,287.0,2.15,1281.68,48.62
6,Libertador General Bernardo O'Higgins,Cachapoal,6103,Coinco,7916.0,107,1.35,1.85,0.6534090909090908,2.960227272727273,1.4276522186576173,2.0,470.75,0.14,98.0,2.53,594.68,80.78
6,Libertador General Bernardo O'Higgins,Cachapoal,6104,Coltauco,21373.0,591,2.77,5.41,0.4395973154362416,4.0,0.0,6.0,2761.6666666666665,2.0,225.0,2.81,1292.13,94.99
6,Libertador General Bernardo O'Higgins,Cachapoal,6105,Doñihue,21925.0,728,3.32,3.61,0.3999999999999999,4.0,0.0,3.0,2913.9166666666665,0.61,78.0,1.37,1329.04,281.09
6,Libertador General Bernardo O'Higgins,Cachapoal,6106,Graneros,35938.0,2068,5.75,12.72,0.1991434689507494,6.0,0.0,1.0,1404.1666666666667,5.15,113.0,0.28,390.72,318.04
6,Libertador General Bernardo O'Higgins,Cachapoal,6107,Las Cabras,27554.0,1653,6.0,10.9,0.5806451612903225,4.0,0.0,10.0,3445.25,2.08,749.0,3.63,1250.36,36.79
6,Libertador General Bernardo O'Higgins,Cachapoal,6108,Machalí,60875.0,3093,5.08,7.92,0.0782710280373832,3.700934579439252,0.4578485500529304,4.0,3699.3333333333335,0.62,2586.0,0.66,607.69,23.54
6,Libertador General Bernardo O'Higgins,Cachapoal,6109,Malloa,13882.0,266,1.92,3.94,0.5846153846153845,4.0,0.0,4.0,1699.5833333333333,1.02,113.0,2.88,1224.31,122.85
6,Libertador General Bernardo O'Higgins,Cachapoal,6110,Mostazal,27394.0,625,2.28,2.94,0.3277777777777777,4.0,0.0,3.0,3977.1666666666665,0.22,524.0,1.1,1451.84,52.28
6,Libertador General Bernardo O'Higgins,Cachapoal,6111,Olivar,13901.0,333,2.4,4.32,0.4517543859649122,4.0,0.0,5.0,1291.0,1.72,45.0,3.6,928.71,308.91
6,Libertador General Bernardo O'Higgins,Cachapoal,6112,Peumo,14243.0,154,1.08,2.35,0.4086378737541527,2.7740863787375414,1.4747463025858178,3.0,1426.8333333333333,0.25,153.0,2.11,1001.78,93.09
6,Libertador General Bernardo O'Higgins,Cachapoal,6113,Pichidegua,20363.0,414,2.03,5.05,0.5294117647058822,4.0,0.0,7.0,2463.583333333333,1.2,320.0,3.44,1209.83,63.63
6,Libertador General Bernardo O'Higgins,Cachapoal,6114,Quinta de Tilcoco,13558.0,506,3.73,8.03,0.608910891089109,4.0,0.0,3.0,1573.1666666666667,3.37,93.0,2.21,1160.32,145.78
6,Libertador General Bernardo O'Higgins,Cachapoal,6115,Rengo,63620.0,3217,5.06,8.3,0.2116279069767441,4.467441860465116,2.6223742952321305,10.0,4184.333333333333,2.35,592.0,1.57,657.71,107.47
6,Libertador General Bernardo O'Higgins,Cachapoal,6116,Requínoa,29508.0,1003,3.4,5.88,0.4759493670886077,4.0,0.0,6.0,3423.0,1.95,673.0,2.03,1160.02,43.85
6,Libertador General Bernardo O'Higgins,Cachapoal,6117,San Vicente,49559.0,1755,3.54,5.56,0.5227686703096539,6.0,0.0,7.0,3388.6666666666665,0.94,476.0,1.41,683.76,104.12
6,Libertador General Bernardo O'Higgins,Cardenal Caro,6201,Pichilemu,19847.0,1033,5.2,10.08,0.2624434389140271,4.524886877828054,0.8799247247009404,4.0,1496.5833333333333,2.8,749.0,2.02,754.06,26.5
6,Libertador General Bernardo O'Higgins,Cardenal Caro,6202,La Estrella,4609.0,186,4.04,3.53,0.681159420289855,4.0,0.0,2.0,479.75,1.02,435.0,4.34,1040.9,10.6
6,Libertador General Bernardo O'Higgins,Cardenal Caro,6203,Litueche,8852.0,324,3.66,7.51,0.7414965986394557,1.7755102040816326,1.3134361558942111,3.0,753.25,3.34,619.0,3.39,850.94,14.3
6,Libertador General Bernardo O'Higgins,Cardenal Caro,6204,Marchihue,8715.0,154,1.77,4.45,0.7305389221556886,4.0,0.0,3.0,629.1666666666666,0.99,660.0,3.44,721.94,13.2
6,Libertador General Bernardo O'Higgins,Cardenal Caro,6205,Navidad,8885.0,319,3.59,3.77,1.0,4.0,0.0,5.0,851.6666666666666,0.21,300.0,5.63,958.54,29.62
6,Libertador General Bernardo O'Higgins,Cardenal Caro,6206,Paredones,7228.0,92,1.27,1.58,0.6601941747572815,4.0,0.0,5.0,581.8333333333334,0.1,562.0,6.92,804.97,12.86
6,Libertador General Bernardo O'Higgins,Colchagua,6301,San Fernando,75585.0,3706,4.9,6.49,0.1062753036437247,5.539473684210527,2.3819200328369017,10.0,5664.333333333333,2.27,2441.0,1.32,749.4,30.96
6,Libertador General Bernardo O'Higgins,Colchagua,6302,Chépica,15668.0,311,1.98,3.75,0.5533980582524272,4.0,0.0,5.0,1150.6666666666667,1.8,503.0,3.19,734.41,31.15
6,Libertador General Bernardo O'Higgins,Colchagua,6303,Chimbarongo,37258.0,790,2.12,3.78,0.4592901878914406,4.0,0.0,6.0,2631.4166666666665,0.56,498.0,1.61,706.27,74.82
6,Libertador General Bernardo O'Higgins,Colchagua,6304,Lolol,7791.0,122,1.57,5.67,0.6701030927835052,1.9896907216494848,1.4105262990917171,4.0,998.5,1.03,597.0,5.13,1281.61,13.05
6,Libertador General Bernardo O'Higgins,Colchagua,6305,Nancagua,18723.0,1178,6.29,10.48,0.5168195718654434,4.0,0.0,5.0,1840.9166666666667,4.06,111.0,2.67,983.24,168.68
6,Libertador General Bernardo O'Higgins,Colchagua,6306,Palmilla,13060.0,183,1.4,2.07,0.7531645569620253,4.0,0.0,4.0,1157.0833333333333,0.55,237.0,3.06,885.97,55.11
6,Libertador General Bernardo O'Higgins,Colchagua,6307,Peralillo,12493.0,494,3.95,4.34,0.5604395604395604,4.0,0.0,5.0,1732.4166666666667,0.59,283.0,4.0,1386.71,44.14
6,Libertador General Bernardo O'Higgins,Colchagua,6308,Placilla,9438.0,380,4.03,8.4,0.730263157894737,3.460526315789474,0.8876460513433122,3.0,1009.1666666666666,5.34,147.0,3.18,1069.26,64.2
6,Libertador General Bernardo O'Higgins,Colchagua,6309,Pumanque,4559.0,91,2.0,4.7,1.0,4.0,0.0,3.0,413.25,3.29,441.0,6.58,906.45,10.34
6,Libertador General Bernardo O'Higgins,Colchagua,6310,Santa Cruz,41209.0,2385,5.79,8.14,0.3776371308016877,4.236286919831223,2.282540531146556,7.0,5238.0,4.69,420.0,1.7,1271.08,98.12
7,Maule,Talca,7101,Talca,232131.0,15844,6.83,8.9,0.0529154027637344,1.9888776541961577,0.7668197036459883,17.0,26444.58333333333,1.94,232.0,0.73,1139.21,1000.56
7,Maule,Talca,7102,Constitución,47004.0,1315,2.8,3.79,0.2058287795992714,4.699453551912568,2.580369297663311,10.0,6158.666666666667,0.9,1344.0,2.13,1310.24,34.97
7,Maule,Talca,7103,Curepto,9519.0,58,0.61,0.93,0.6267605633802817,2.119718309859155,1.4509947746782628,9.0,972.8333333333334,0.39,1074.0,9.45,1021.99,8.86
7,Maule,Talca,7104,Empedrado,3990.0,0,0.0,1.65,0.5528455284552845,2.341463414634146,1.4915985220898202,3.0,584.25,0.17,565.0,7.52,1464.29,7.06
7,Maule,Talca,7105,Maule,61081.0,2683,4.39,4.95,0.2191780821917808,2.4863013698630136,1.0837296165460024,7.0,3813.1666666666665,1.71,238.0,1.15,624.28,256.64
7,Maule,Talca,7106,Pelarco,9229.0,145,1.57,2.38,0.7440476190476191,3.232142857142857,1.3091855623763553,5.0,1306.1666666666667,0.42,332.0,5.42,1415.29,27.8
7,Maule,Talca,7107,Pencahue,9181.0,210,2.29,3.04,0.588235294117647,5.176470588235294,0.9843059135695006,8.0,862.4166666666666,1.03,957.0,8.71,939.35,9.59
7,Maule,Talca,7108,Río Claro,14276.0,194,1.36,2.02,0.6059113300492611,4.0,0.0,7.0,1430.5833333333333,0.18,431.0,4.9,1002.09,33.12
7,Maule,Talca,7109,San Clemente,47380.0,912,1.92,2.34,0.5176252319109462,4.0,0.0,21.0,4433.916666666667,0.67,4504.0,4.43,935.82,10.52
7,Maule,Talca,7110,San Rafael,11230.0,174,1.55,1.64,0.5941176470588236,4.0,0.0,3.0,1134.8333333333333,0.77,264.0,2.67,1010.54,42.54
7,Maule,Cauquenes,7201,Cauquenes,42798.0,592,1.38,1.78,0.1890359168241966,3.9262759924385633,2.700600214635871,16.0,4134.583333333333,0.34,2126.0,3.74,966.07,20.13
7,Maule,Cauquenes,7202,Chanco,9446.0,176,1.86,2.71,0.5684210526315789,2.294736842105263,1.4858893081286642,8.0,986.75,1.12,530.0,8.47,1044.62,17.82
7,Maule,Cauquenes,7203,Pelluhue,8578.0,217,2.53,3.33,0.5616438356164384,4.0,0.0,4.0,1242.5833333333333,0.52,371.0,4.66,1448.57,23.12
7,Maule,Curicó,7301,Curicó,159968.0,10601,6.63,9.29,0.119047619047619,2.140088593576966,1.3908332998237734,19.0,14756.0,3.51,1328.0,1.19,922.43,120.46
7,Maule,Curicó,7302,Hualañé,10775.0,234,2.17,2.53,0.6153846153846154,4.0,0.0,5.0,1649.1666666666667,0.8,629.0,4.64,1530.55,17.13
7,Maule,Curicó,7303,Licantén,6892.0,152,2.21,3.09,0.6208791208791209,4.0,0.0,6.0,951.6666666666666,1.01,273.0,8.71,1380.83,25.25
7,Maule,Curicó,7304,Molina,48949.0,1632,3.33,5.75,0.2440677966101694,4.783050847457627,2.4880155145827296,9.0,5952.416666666667,1.12,1552.0,1.84,1216.04,31.54
7,Maule,Curicó,7305,Rauco,11266.0,205,1.82,2.49,0.6035502958579881,4.0,0.0,5.0,1080.3333333333333,0.87,309.0,4.44,958.93,36.46
7,Maule,Curicó,7306,Romeral,17233.0,535,3.1,4.36,0.6280193236714975,3.256038647342995,0.9666665459540686,5.0,1989.3333333333333,1.4,1597.0,2.9,1154.37,10.79
7,Maule,Curicó,7307,Sagrada Familia,19427.0,336,1.73,2.82,0.6398104265402844,4.0,0.0,6.0,1868.4166666666667,1.21,549.0,3.09,961.76,35.39
7,Maule,Curicó,7308,Teno,30113.0,617,2.05,3.42,0.6655172413793105,4.0,0.0,8.0,3252.583333333333,0.73,618.0,2.66,1080.13,48.73
7,Maule,Curicó,7309,Vichuquén,4716.0,141,2.99,3.49,0.7205882352941178,3.161764705882353,1.3461305560934431,6.0,393.75,1.93,426.0,12.72,834.92,11.07
7,Maule,Linares,7401,Linares,96744.0,2354,2.43,3.36,0.18001800180018,4.645364536453646,2.6388146200304314,19.0,8063.583333333333,0.72,1466.0,1.96,833.5,65.99
7,Maule,Linares,7402,Colbún,22637.0,253,1.12,1.21,0.5333333333333334,2.4,1.4966629547095769,8.0,3029.083333333333,0.53,2900.0,3.53,1338.11,7.81
7,Maule,Linares,7403,Longaví,33299.0,447,1.34,2.84,0.6840796019900497,4.0,0.0,12.0,2462.083333333333,0.62,1454.0,3.6,739.39,22.9
7,Maule,Linares,7404,Parral,45323.0,840,1.85,2.41,0.2250396196513471,4.071315372424722,2.6399919584714264,16.0,4336.416666666667,0.63,1638.0,3.53,956.78,27.67
7,Maule,Linares,7405,Retiro,22310.0,182,0.82,1.85,0.6633663366336633,4.0,0.0,11.0,2032.3333333333333,0.39,827.0,4.93,910.95,26.98
7,Maule,Linares,7406,San Javier,49559.0,918,1.85,2.38,0.336734693877551,3.981632653061225,2.443164013255858,13.0,5199.75,0.73,1313.0,2.62,1049.2,37.74
7,Maule,Linares,7407,Villa Alegre,17919.0,194,1.08,1.24,0.3883928571428572,2.8348214285714284,1.4621540995973672,7.0,1894.6666666666667,0.39,190.0,3.91,1057.35,94.31
7,Maule,Linares,7408,Yerbas Buenas,20035.0,149,0.74,1.29,0.651063829787234,4.0,0.0,6.0,2180.25,0.29,262.0,2.99,1088.22,76.47
8,Biobío,Concepción,8101,Concepción,230375.0,15088,6.55,9.15,0.0468461822205827,2.2268535595721137,0.73723867469668,15.0,22271.83333333333,4.1,222.0,0.65,966.76,1037.73
8,Biobío,Concepción,8102,Coronel,123648.0,2704,2.19,2.77,0.0899508081517919,3.7111735769501055,2.8472832707656743,12.0,8793.166666666666,1.44,279.0,0.97,711.15,443.18
8,Biobío,Concepción,8103,Chiguayante,85822.0,2155,2.51,2.73,0.0139484978540771,1.9506437768240343,0.5439183992442059,6.0,8105.0,1.47,72.0,0.7,944.4,1191.97
